category,2.Frequency,3.gender,4.age,5.height,6.weight,7.qualification,8.living area,9.status,11.CGPA,12.monthly expenditure,13.game,13.anime,13.sports,13.online shopping,13.travelling,13.keep pets,13.skincare,13.technology,13.music,13.movie,13.starchaaser,13.TV series,13.photography,13.painting or calligraphy,13.personal finance,13.collection,13.dancing,13.cooking,13.DIY,13.automobile
C1,0.134335622,0.133878374,0.134278973,0.04621703,0.02034789,0.090528301,0.181481713,0.009447338,0.033263059,0.08492907,0.156507236,0.156484544,0.140906358,0.024467706,0.083937374,0.002439073,0.106273749,0.157573632,0.013214848,0.15113652,0.235410649,0.008588217,0.146729724,0.106902826,0.031650086,0.046741446,0.233886808,0.02212483,0.002892548,0.046622806
C3,0.021705774,0.067084081,0.269211488,0.064029304,0.052109787,0.016830896,0.116605451,0.013503577,0.094982296,0.044322108,0.03301085,0.215371886,0.182776611,0.078708064,0.059133839,0.133217594,0.128743207,0.103786762,0.172460781,0.111096799,0.101542241,0.11467779,0.155631444,0.010088121,0.042340946,0.01843794,0.028289211,0.099403894,0.033138857,0.051618291
C4,0.098944609,0.034804054,0.113086891,0.094117042,0.190204983,0.025512078,0.025583089,0.077665312,0.035861725,0.008550576,0.145413028,0.213555491,0.128117805,0.077914079,0.13470415,0.129359671,0.179500895,0.123109917,0.066044016,0.049051637,0.089565535,0.167544121,0.093486539,0.109285892,0.043885713,0.015524064,0.084032064,0.084308466,0.253109481,0.039831231
C5,0.145111503,0.080669587,0.307455088,0.233015353,0.21927234,0.067694564,0.005260986,0.048479363,0.071748957,0.003170539,0.063371831,0.050480857,0.176494023,0.043445551,0.04956299,0.202337096,0.077092156,0.085151514,0.145191071,0.107397703,0.05717982,0.022434595,0.115117889,0.004166458,0.015030885,0.081730492,0.127934292,0.036033884,0.013269733,0.135067449
C13,0.071645531,0.077408012,0.047377493,0.1516663,0.053393988,0.1207624,0.068043858,0.035957177,0.161112842,0.181543455,0.047237409,0.023947767,0.158074707,0.059916503,0.037342602,0.043493708,0.139468167,0.095701052,0.05569982,0.003106455,0.235472917,0.036851017,0.109424693,0.136764145,0.043792483,0.061386152,0.116335442,0.004181768,0.171640916,0.098651611
C23,0.038704845,0.02116328,0.041828069,0.041397864,0.041094955,0.205819212,0.058831287,0.008290387,0.164369646,0.116380402,0.019615326,0.059889208,0.140333901,0.14810861,0.008406266,0.046962844,0.218409056,0.169640459,0.027076885,0.024593645,0.245864724,0.086660372,0.121398661,0.192371939,0.009864206,0.049284119,0.013720109,0.049871065,0.11826009,0.024917713
C36,0.192736172,0.050286122,0.080659355,0.01182671,0.139001623,0.003109906,0.170114187,0.092419005,0.047891867,0.058314039,0.00962363,0.266053108,0.036555195,0.159339719,0.049210457,0.089899393,0.072892665,0.066842245,0.054459725,0.117659739,0.111772092,0.132925148,0.030863765,0.06321224,0.066075944,0.086955173,0.169800197,0.135675831,0.186445591,0.018322599
C119,0.149268225,0.056748968,0.021275012,0.071123672,0.040974896,0.050454481,0.139000391,0.096338577,0.085668307,0.078664009,0.034321798,0.275107718,0.077991645,0.116821826,0.029259176,0.026628149,0.009061029,0.117030695,0.079266534,0.056324692,0.148401461,0.175485717,0.085185596,0.008634547,0.110846653,0.06910018,0.16056378,0.272218664,0.014022069,0.059468726
C129,0.284956264,0.055536868,0.249813544,0.144882324,0.182643117,0.060919516,0.12520147,0.117587148,0.002654728,0.073485908,0.077114334,0.080150921,0.104684273,0.104837218,0.070432182,0.19217551,0.006459831,0.014281279,0.140236207,0.046425109,0.108571419,0.073972976,0.082493364,0.054737388,0.090037827,0.128868322,0.285068485,0.008776161,0.067917975,0.100179734
C155,0.295610825,0.162117068,0.222967314,0.241086508,0.261810421,0.033396622,0.257563166,0.096574407,0.032492544,0.06047845,0.124362129,0.223542551,0.007259492,0.145223574,0.013330711,0.19275609,0.091076838,0.041794009,0.089346187,0.072663131,0.063910504,0.203314351,0.023496014,0.095658218,0.083058464,0.12046761,0.336896967,0.050077512,0.016278312,0.058718711
C160,0.195405298,0.079664436,0.301203336,0.248240356,0.283042355,0.049398263,0.056602211,0.083909519,0.016816291,0.007097455,0.038032272,0.110092558,0.121601644,0.133944055,0.075545483,0.233014757,0.015452406,0.095355198,0.160504048,0.083011368,0.019301196,0.127984117,0.128706781,0.084597819,0.106644086,0.082014438,0.209324449,0.042188636,0.091614666,0.117095869
C167,0.115700222,0.089568364,0.085379407,0.044596355,0.080571113,0.042367247,0.112497912,0.084213238,0.105040743,0.032401815,0.034801463,0.276386144,0.014958807,0.103488003,0.014401359,0.026220956,0.056567048,0.112762042,0.005995153,0.04274682,0.102927014,0.083797344,0.046960087,0.00801918,0.067921161,0.030562787,0.195656886,0.173199455,0.146917751,0.053815846
C177,0.256405782,0.098415864,0.181655021,0.164607525,0.029729332,0.047237661,0.211809562,0.032772841,0.081024525,0.059416302,0.115253048,0.099228721,0.000980287,0.058279286,0.001969959,0.091391073,0.223960824,0.05314637,0.060488809,0.230591287,0.036987504,0.101194993,0.137139683,0.010384393,0.033824493,0.109426121,0.100256122,0.154931446,0.054592173,0.086896769
