category,2.Frequency,3.gender,4.age,5.height,6.weight,7.qualification,8.living area,9.status,11.CGPA,12.monthly expenditure,13.game,13.anime,13.sports,13.online shopping,13.travelling,13.keep pets,13.skincare,13.technology,13.music,13.movie,13.starchaaser,13.TV series,13.photography,13.painting or calligraphy,13.personal finance,13.collection,13.dancing,13.cooking,13.DIY,13.automobile
Sub1,0.143904562,0.246571214,0.039320711,0.290658858,0.35338547,0.136964063,0.04241584,0.047916565,0.207292573,0.196225513,0.210912384,0.234785494,0.151208635,0.060162988,0.175136239,0.211261079,0.128018961,0.072617211,0.252773773,0.160811463,0.110473825,0.030772233,0.020819214,0.004786176,0.06045686,0.481688284,0.119378297,0.109157018,0.091442115,0.056140028
Sub5,0.069052169,0.15947,0.018867925,0.099751792,0.086618559,0.040573326,0.09677511,0.065484079,0.042183385,0.116238345,0.186431497,0.109575823,0.17219058,0.105350743,0.122859023,0.065484079,0.061429512,0.113893363,0.132363951,0.113893363,0.053010531,0.109575823,0.065484079,0.061429512,0.061429512,0.018867925,0.329379061,0.256978084,0.043878223,0.026938623
Sub17,0.138425966,0.411510635,0.145350185,0.263468522,0.240235454,0.111206897,0.145597808,0.195120206,0.166040373,0.234575245,0.503688663,0.432543516,0.245261601,0.13801685,0.149940479,0.001142926,0.306720543,0.226702441,0.026141024,0.094588729,0.193094056,0.377766847,0.10118706,0.00157811,0.06733651,0.011953437,0.191775698,0.029138481,0.020963395,0.19757192
Sub19,0.069052169,0.118316452,0.018867925,0.217106842,0.273181608,0.040573326,0.060981576,0.065484079,0.06135765,0.125179756,0.10120567,0.17219058,0.109575823,0.179096264,0.153573779,0.28812995,0.061429512,0.113893363,0.132363951,0.113893363,0.053010531,0.109575823,0.065484079,0.061429512,0.061429512,0.018867925,0.057283315,0.256978084,0.043878223,0.026938623
Sub20,0.330231234,0.280454304,0.084778486,0.207812253,0.23777835,0.017705335,0.335971084,0.131420669,0.221816332,0.144673577,0.238521292,0.209406271,0.078951263,0.115161439,0.017217599,0.007836143,0.19507158,0.015934709,0.066724442,0.054196633,0.109828799,0.017102423,0.003676508,0.094856381,0.039273858,0.115944108,0.074144096,0.085233993,0.03490561,0.032244268
Sub21,0.41182651,0.043795296,0.135941853,0.069794039,0.047317744,0.270781355,0.149172538,0.108212963,0.050890631,0.061519584,0.082503837,0.074986425,0.098028421,0.1072637,0.164522787,0.152967226,0.059531945,0.00995743,0.260998946,0.214934609,0.183441054,0.088087598,0.192700128,0.084007979,0.096414388,0.088412459,0.089776293,0.240501334,0.205607224,0.028269912
Sub22,0.208579083,0.318014282,0.079512128,0.097269752,0.08143339,0.012530714,0.003265942,0.186474845,0.044708979,0.054694015,0.275166176,0.443304954,0.059104697,0.20560992,0.171769771,0.032242931,0.216399622,0.13737715,0.111680925,0.026896034,0.109381117,0.286285851,0.324548824,0.059750553,0.093771583,0.009754199,0.148991439,0.060019872,0.132165488,0.027246745
Sub24,0.240776319,0.248399203,0.063662131,0.206795692,0.164543451,0.05723425,0.172424183,0.18930625,0.107703943,0.209582158,0.24597202,0.38607699,0.084176846,0.021592689,0.071777818,0.051170567,0.201375982,0.107171751,0.130772658,0.152859076,0.127302707,0.046759882,0.052421131,0.045038998,0.016822025,0.094689375,0.091533363,0.19900842,0.020362397,0.061974048
Sub25,0.140603315,0.081924596,0.0793103,0.139891642,0.115340059,0.21044978,0.089972489,0.123978036,0.012941329,0.345104729,0.140093497,0.515114527,0.112813369,0.061152855,0.034442105,0.202499912,0.24277546,0.032079023,0.239191082,0.276985666,0.127959719,0.174877191,0.076587383,0.231426116,0.000918057,0.174719759,0.161073491,0.153761366,0.395107113,0.047563657
Sub26,0.131142544,0.23322352,0.078128712,0.050446068,0.112823869,0.082294371,0.099597036,0.165285556,0.131078602,0.110984915,0.149436574,0.394324119,0.021141474,0.239443482,0.080347546,0.066509366,0.237955986,0.139162769,0.03294375,0.095043387,0.173115531,0.239566221,0.109567189,0.121564765,0.037984349,0.20832866,0.178340608,0.104296368,0.332193633,0.007370869
