UID,大类,小类,关注视频log2归一化
,1,1,0
,3,3,0
,4,4,0
,5,5,0
,11,11,0
,13,13,0
,4,17,0.375037717
,4,19,0
,129,20,0.061309884
,160,21,1
,119,22,0.158135999
,23,23,0
,1,24,0.083982478
,1,25,0.058624113
,119,26,0.046098966
,1,27,0.26726589
,3,28,0.276977304
,3,29,0.139128759
,3,30,0.047034596
,3,31,0.29286953
,13,32,0
,13,33,0
,36,36,0
,177,37,0.119149607
,1,47,0.106571527
,13,51,0.018350375
,3,59,0.185552153
,4,65,0.098958789
,5,71,0.207355553
,217,75,0.32382816
,211,76,0.09513706
,23,83,0
,181,85,0.113877335
,1,86,0
,188,95,0.136944294
,119,119,0
,4,121,0.007634292
,36,122,0.291830416
,36,124,0.75655447
,119,126,0.092398207
,119,127,0.003817146
,129,129,0
,3,130,0.177152478
,4,136,0.036201107
,5,137,0.162019462
,160,138,0.441870529
,23,145,0
,23,146,0
,23,147,0.006050033
,13,152,0
,167,153,0.053943358
,129,154,0.061722961
,155,155,0
,129,156,0
,155,157,0.037816046
,155,158,0.068353212
,155,159,0.013684325
,160,160,0
,160,161,0.026720021
,160,162,0.047303282
,234,164,0.058924179
,167,167,0
,167,168,0.080313853
,167,169,0
,167,170,0.065184695
,4,171,0.09375766
,4,172,0.12753784
,4,173,0.105279329
,223,176,0.049916112
,177,177,0
,177,178,0.035002941
,177,179,0.051769057
,177,180,0.052504411
,181,181,0
,181,182,0.141937563
,181,183,0.115825953
,181,184,0.076480996
,11,185,0
,11,187,0
,188,188,0
,155,192,0
,3,193,0.137068051
,3,194,0
,167,195,0.056665529
,129,198,0.011451437
,129,199,0.033418682
,129,200,0.009867179
,36,201,0.356184544
,202,202,0
,202,203,0.691736383
,202,204,0.472095191
,202,205,0.549285332
,202,206,0.557535066
,36,207,0.181883232
,36,208,0.193692606
,36,209,0.081682124
,1,210,0.038084732
,211,211,0
,211,212,0.053733257
,211,213,0.104754458
,211,214,0.068397847
,211,215,0.083690206
,119,216,0.036500473
,217,217,0
,217,218,0.229893206
,217,219,0.2343003
,217,220,0.068266486
,217,221,0.180275294
,217,222,0.045518748
,223,223,0
,223,224,0
,223,225,0.013684325
,223,226,0.015268583
,223,227,0
,36,228,0.495640713
,36,229,0.033859475
