res_num_x,res_num_y,res_num,type
13.DIY,Sub75,0.66652957,Sub
13.anime,Sub47,0.610747985,Sub
13.dancing,Sub198,0.600110668,Sub
13.anime,Sub27,0.563641408,Sub
4.age,Sub122,0.556128092,Sub
4.age,Sub231,0.546807999,Sub
13.automobile,Sub224,0.53992572,Sub
13.skincare,Sub157,0.531166918,Sub
13.dancing,Sub239,0.52469754,Sub
13.dancing,Sub137,0.520664847,Sub
13.DIY,Sub221,0.520478865,Sub
13.automobile,Sub227,0.519703619,Sub
13.anime,Sub25,0.515114527,Sub
13.skincare,Sub198,0.510148741,Sub
13.dancing,Sub156,0.506613442,Sub
13.dancing,Sub157,0.505776943,Sub
13.game,Sub17,0.503688663,Sub
13.DIY,Sub184,0.501825326,Sub
3.gender,Sub157,0.496238075,Sub
13.game,Sub172,0.494479168,Sub
13.dancing,Sub154,0.489060661,Sub
13.collection,Sub1,0.481688284,Sub
13.dancing,Sub199,0.478816647,Sub
13.anime,Sub172,0.472587886,Sub
13.personal finance,Sub224,0.468784968,Sub
13.anime,Sub136,0.467074334,Sub
13.DIY,Sub206,0.461951583,Sub
5.height,Sub171,0.46038396,Sub
13.DIY,Sub162,0.452624841,Sub
13.automobile,Sub226,0.449317303,Sub
13.DIY,Sub183,0.447866294,Sub
13.starchaaser,Sub183,0.444583633,Sub
13.anime,Sub22,0.443304954,Sub
13.dancing,Sub130,0.439139171,Sub
13.anime,Sub210,0.435852814,Sub
13.DIY,Sub222,0.435596389,Sub
13.keep pets,Sub219,0.432887123,Sub
13.anime,Sub17,0.432543516,Sub
13.game,Sub65,0.432280846,Sub
13.anime,Sub153,0.429589192,Sub
13.photography,Sub86,0.428641612,Sub
13.anime,Sub59,0.426569162,Sub
13.DIY,Sub219,0.425907463,Sub
13.anime,Sub126,0.423599659,Sub
13.anime,Sub51,0.422487763,Sub
13.game,Sub171,0.41947824,Sub
5.height,Sub65,0.41846744,Sub
13.anime,Sub86,0.417531117,Sub
2.Frequency,Sub85,0.416173801,Sub
13.automobile,Sub225,0.414350507,Sub
13.dancing,Sub29,0.411867242,Sub
2.Frequency,Sub21,0.41182651,Sub
13.DIY,Sub153,0.411598893,Sub
3.gender,Sub17,0.411510635,Sub
13.anime,Sub168,0.408769487,Sub
13.anime,Sub30,0.405929109,Sub
13.painting or calligraphy,Sub162,0.402194229,Sub
13.starchaaser,Sub137,0.400234177,Sub
3.gender,Sub171,0.400137965,Sub
3.gender,Sub65,0.399443621,Sub
6.weight,Sub65,0.398741839,Sub
13.anime,Sub65,0.398382915,Sub
13.game,Sub121,0.398321859,Sub
3.gender,Sub172,0.398114552,Sub
13.game,Sub210,0.397155745,Sub
13.skincare,Sub158,0.395603207,Sub
13.DIY,Sub25,0.395107113,Sub
13.anime,Sub26,0.394324119,Sub
5.height,Sub157,0.394154602,Sub
13.DIY,Sub28,0.393888173,Sub
13.automobile,Sub176,0.393279454,Sub
13.online shopping,Sub212,0.391491068,Sub
11.CGPA,Sub229,0.391448153,Sub
5.height,Sub172,0.391059117,Sub
13.skincare,Sub156,0.390692284,Sub
13.dancing,Sub193,0.390523968,Sub
7.qualification,Sub161,0.389065176,Sub
11.CGPA,Sub200,0.387327342,Sub
6.weight,Sub210,0.3862229,Sub
13.anime,Sub24,0.38607699,Sub
3.gender,Sub210,0.385816026,Sub
13.DIY,Sub220,0.383616322,Sub
5.height,Sub235,0.382275051,Sub
2.Frequency,Sub176,0.381538073,Sub
13.skincare,Sub172,0.381452764,Sub
13.anime,Sub121,0.380085731,Sub
13.collection,Sub29,0.379561155,Sub
13.collection,Sub59,0.378205801,Sub
13.DIY,Sub218,0.377849823,Sub
13.TV series,Sub17,0.377766847,Sub
2.Frequency,Sub218,0.372487056,Sub
13.anime,Sub216,0.372225844,Sub
13.personal finance,Sub176,0.368986741,Sub
13.online shopping,Sub213,0.367782304,Sub
6.weight,Sub171,0.367238021,Sub
13.technology,Sub137,0.365521259,Sub
13.music,Sub232,0.364499231,Sub
2.Frequency,Sub221,0.364130586,Sub
13.technology,Sub95,0.363966848,Sub
13.DIY,Sub30,0.363796279,Sub
13.keep pets,Sub221,0.363776445,Sub
13.game,Sub31,0.362854555,Sub
13.TV series,Sub158,0.362133978,Sub
13.keep pets,Sub237,0.362080747,Sub
12.monthly expenditure,Sub224,0.361644426,Sub
13.anime,Sub225,0.361242726,Sub
6.weight,Sub226,0.359580709,Sub
6.weight,Sub235,0.357024192,Sub
13.dancing,Sub158,0.355499612,Sub
13.anime,Sub224,0.355431668,Sub
6.weight,Sub1,0.35338547,Sub
13.online shopping,Sub76,0.352488027,Sub
5.height,Sub210,0.352338813,Sub
13.skincare,Sub154,0.34922677,Sub
13.DIY,Sub228,0.348697747,Sub
3.gender,Sub31,0.348348003,Sub
13.DIY,Sub238,0.347662728,Sub
7.qualification,Sub184,0.347296757,Sub
