res_num_x,res_num_y,res_num
13.dancing,C155,0.336896967
6.weight,C188,0.31738154
4.age,C181,0.314107604
4.age,C5,0.307455088
13.anime,C202,0.303682457
4.age,C160,0.301203336
2.Frequency,C155,0.295610825
5.height,C181,0.292039894
13.cooking,C217,0.290131333
13.dancing,C129,0.285068485
2.Frequency,C129,0.284956264
6.weight,C160,0.283042355
2.Frequency,C188,0.278465694
13.anime,C167,0.276386144
6.weight,C181,0.275657688
13.anime,C119,0.275107718
13.cooking,C119,0.272218664
8.living area,C188,0.270837102
5.height,C211,0.270603461
4.age,C3,0.269211488
6.weight,C211,0.268401521
5.height,C234,0.268126536
13.anime,C36,0.266053108
4.age,C211,0.265670482
6.weight,C155,0.261810421
13.anime,C217,0.257777498
8.living area,C155,0.257563166
2.Frequency,C177,0.256405782
4.age,C234,0.253662271
13.DIY,C4,0.253109481
4.age,C129,0.249813544
5.height,C160,0.248240356
13.anime,C223,0.247958039
8.living area,C234,0.247620326
13.starchaaser,C23,0.245864724
5.height,C155,0.241086508
13.anime,C188,0.240437222
13.starchaaser,C13,0.235472917
13.starchaaser,C1,0.235410649
13.dancing,C1,0.233886808
5.height,C5,0.233015353
13.keep pets,C160,0.233014757
13.dancing,C181,0.231915138
13.movie,C177,0.230591287
11.CGPA,C223,0.227502723
13.cooking,C202,0.225974233
13.skincare,C177,0.223960824
13.anime,C155,0.223542551
4.age,C155,0.222967314
13.DIY,C223,0.220834104
6.weight,C5,0.21927234
13.skincare,C23,0.218409056
2.Frequency,C234,0.217005601
13.anime,C3,0.215371886
13.anime,C4,0.213555491
8.living area,C177,0.211809562
13.dancing,C160,0.209324449
7.qualification,C23,0.205819212
11.CGPA,C217,0.205303008
13.TV series,C155,0.203314351
13.keep pets,C5,0.202337096
13.cooking,C223,0.200576655
13.DIY,C217,0.199030147
13.skincare,C188,0.196456193
3.gender,C188,0.19583379
13.dancing,C167,0.195656886
2.Frequency,C160,0.195405298
13.keep pets,C181,0.195065548
13.dancing,C188,0.19432628
13.keep pets,C155,0.19275609
2.Frequency,C36,0.192736172
13.painting or calligraphy,C23,0.192371939
13.keep pets,C129,0.19217551
6.weight,C4,0.190204983
13.DIY,C36,0.186445591
13.dancing,C211,0.185220932
13.TV series,C188,0.183611215
2.Frequency,C211,0.183284923
6.weight,C202,0.182831776
13.sports,C3,0.182776611
6.weight,C129,0.182643117
13.TV series,C202,0.182285992
4.age,C177,0.181655021
12.monthly expenditure,C13,0.181543455
6.weight,C234,0.181528441
8.living area,C1,0.181481713
13.keep pets,C211,0.180781829
13.skincare,C4,0.179500895
13.sports,C5,0.176494023
13.TV series,C119,0.175485717
13.dancing,C234,0.173804023
13.music,C234,0.173223325
13.cooking,C167,0.173199455
4.age,C223,0.172652936
13.music,C3,0.172460781
13.movie,C188,0.172212171
13.DIY,C13,0.171640916
8.living area,C36,0.170114187
13.dancing,C36,0.169800197
13.technology,C23,0.169640459
13.DIY,C202,0.168633906
13.TV series,C4,0.167544121
13.online shopping,C188,0.166471062
13.game,C188,0.164884421
5.height,C177,0.164607525
11.CGPA,C23,0.164369646
2.Frequency,C223,0.163245365
13.TV series,C211,0.162193557
3.gender,C155,0.162117068
11.CGPA,C13,0.161112842
13.game,C223,0.16098642
13.dancing,C119,0.16056378
13.TV series,C234,0.160539479
13.music,C160,0.160504048
2.Frequency,C202,0.159776821
13.online shopping,C36,0.159339719
13.music,C181,0.158176938
13.sports,C13,0.158074707
5.height,C188,0.158028749
13.technology,C1,0.157573632
13.game,C1,0.156507236
13.anime,C1,0.156484544
13.dancing,C202,0.156190747
13.photography,C3,0.155631444
13.online shopping,C202,0.155470667
13.cooking,C177,0.154931446
13.movie,C181,0.153705475
13.anime,C211,0.152567052
5.height,C13,0.1516663
13.movie,C1,0.15113652
13.collection,C188,0.149410095
2.Frequency,C119,0.149268225
13.cooking,C211,0.148992416
13.starchaaser,C119,0.148401461
13.TV series,C181,0.148312628
13.online shopping,C23,0.14810861
13.DIY,C167,0.146917751
13.photography,C1,0.146729724
13.anime,C181,0.145771669
8.living area,C211,0.145453168
13.game,C4,0.145413028
13.online shopping,C155,0.145223574
13.music,C5,0.145191071
2.Frequency,C5,0.145111503
5.height,C129,0.144882324
13.sports,C217,0.144444538
13.online shopping,C211,0.143543622
13.online shopping,C181,0.142599888
13.TV series,C217,0.142371475
13.keep pets,C223,0.142353771
13.photography,C181,0.141786085
13.keep pets,C188,0.141396541
13.sports,C1,0.140906358
13.sports,C23,0.140333901
13.music,C129,0.140236207
13.skincare,C13,0.139468167
6.weight,C36,0.139001623
8.living area,C119,0.139000391
5.height,C223,0.137142422
13.photography,C177,0.137139683
13.painting or calligraphy,C13,0.136764145
13.cooking,C36,0.135675831
13.automobile,C5,0.135067449
13.automobile,C211,0.135006226
11.CGPA,C202,0.134800606
13.travelling,C4,0.13470415
2.Frequency,C1,0.134335622
4.age,C1,0.134278973
13.online shopping,C160,0.133944055
3.gender,C1,0.133878374
13.DIY,C188,0.13378539
4.age,C217,0.133526074
13.keep pets,C3,0.133217594
13.TV series,C36,0.132925148
13.DIY,C234,0.131529208
13.personal finance,C211,0.130822107
13.keep pets,C4,0.129359671
13.collection,C129,0.128868322
13.skincare,C3,0.128743207
13.photography,C160,0.128706781
13.personal finance,C202,0.128329291
13.sports,C4,0.128117805
13.TV series,C160,0.127984117
13.dancing,C5,0.127934292
8.living area,C129,0.12520147
13.game,C155,0.124362129
13.photography,C211,0.124167941
13.collection,C234,0.12342985
13.technology,C4,0.123109917
13.sports,C160,0.121601644
13.online shopping,C217,0.121516275
13.photography,C23,0.121398661
7.qualification,C13,0.1207624
13.collection,C155,0.12046761
13.DIY,C23,0.11826009
13.movie,C36,0.117659739
9.status,C129,0.117587148
13.technology,C181,0.117440407
13.personal finance,C217,0.117383055
13.automobile,C160,0.117095869
13.technology,C119,0.117030695
13.online shopping,C119,0.116821826
13.automobile,C223,0.116704371
8.living area,C3,0.116605451
12.monthly expenditure,C23,0.116380402
13.dancing,C13,0.116335442
2.Frequency,C167,0.115700222
13.travelling,C188,0.115675771
13.game,C177,0.115253048
13.photography,C5,0.115117889
13.TV series,C3,0.11467779
13.travelling,C217,0.11445193
4.age,C4,0.113086891
13.technology,C167,0.112762042
8.living area,C167,0.112497912
13.starchaaser,C36,0.111772092
13.movie,C3,0.111096799
13.personal finance,C119,0.110846653
13.anime,C160,0.110092558
13.collection,C177,0.109426121
13.photography,C13,0.109424693
13.painting or calligraphy,C4,0.109285892
13.starchaaser,C129,0.108571419
13.movie,C5,0.107397703
13.painting or calligraphy,C1,0.106902826
13.personal finance,C160,0.106644086
13.skincare,C1,0.106273749
11.CGPA,C234,0.106198709
11.CGPA,C167,0.105040743
13.online shopping,C129,0.104837218
13.sports,C129,0.104684273
13.travelling,C202,0.104641721
9.status,C217,0.104593228
13.starchaaser,C181,0.104189554
13.game,C234,0.103920918
13.technology,C3,0.103786762
