res_num_x,res_num_y,res_num
13.DIY,Sub75,0.66652957
13.anime,Sub47,0.610747985
13.dancing,Sub198,0.600110668
13.anime,Sub27,0.563641408
4.age,Sub122,0.556128092
4.age,Sub231,0.546807999
13.automobile,Sub224,0.53992572
13.skincare,Sub157,0.531166918
13.dancing,Sub239,0.52469754
13.dancing,Sub137,0.520664847
13.DIY,Sub221,0.520478865
13.automobile,Sub227,0.519703619
13.anime,Sub25,0.515114527
13.skincare,Sub198,0.510148741
13.dancing,Sub156,0.506613442
13.dancing,Sub157,0.505776943
13.game,Sub17,0.503688663
13.DIY,Sub184,0.501825326
3.gender,Sub157,0.496238075
13.game,Sub172,0.494479168
13.dancing,Sub154,0.489060661
13.collection,Sub1,0.481688284
13.dancing,Sub199,0.478816647
13.anime,Sub172,0.472587886
13.personal finance,Sub224,0.468784968
13.anime,Sub136,0.467074334
13.DIY,Sub206,0.461951583
5.height,Sub171,0.46038396
13.DIY,Sub162,0.452624841
13.automobile,Sub226,0.449317303
13.DIY,Sub183,0.447866294
13.starchaaser,Sub183,0.444583633
13.anime,Sub22,0.443304954
13.dancing,Sub130,0.439139171
13.anime,Sub210,0.435852814
13.DIY,Sub222,0.435596389
13.keep pets,Sub219,0.432887123
13.anime,Sub17,0.432543516
13.game,Sub65,0.432280846
13.anime,Sub153,0.429589192
13.photography,Sub86,0.428641612
13.anime,Sub59,0.426569162
13.DIY,Sub219,0.425907463
13.anime,Sub126,0.423599659
13.anime,Sub51,0.422487763
13.game,Sub171,0.41947824
5.height,Sub65,0.41846744
13.anime,Sub86,0.417531117
2.Frequency,Sub85,0.416173801
13.automobile,Sub225,0.414350507
13.dancing,Sub29,0.411867242
2.Frequency,Sub21,0.41182651
13.DIY,Sub153,0.411598893
3.gender,Sub17,0.411510635
13.anime,Sub168,0.408769487
13.anime,Sub30,0.405929109
13.painting or calligraphy,Sub162,0.402194229
13.starchaaser,Sub137,0.400234177
3.gender,Sub171,0.400137965
3.gender,Sub65,0.399443621
6.weight,Sub65,0.398741839
13.anime,Sub65,0.398382915
13.game,Sub121,0.398321859
3.gender,Sub172,0.398114552
13.game,Sub210,0.397155745
13.skincare,Sub158,0.395603207
13.DIY,Sub25,0.395107113
13.anime,Sub26,0.394324119
5.height,Sub157,0.394154602
13.DIY,Sub28,0.393888173
13.automobile,Sub176,0.393279454
13.online shopping,Sub212,0.391491068
11.CGPA,Sub229,0.391448153
5.height,Sub172,0.391059117
13.skincare,Sub156,0.390692284
13.dancing,Sub193,0.390523968
